time,text_tokens,total_consumed_tokens,total_loss,reduced_llm_loss,reduced_balancing_loss,loss,maxvio,efficient_attn_ratio,grad_norm,max_memory_GB,reserved_memory_GB,tgs,e2e_tgs
9.5694,49162.0,2169813.0,1.02393460,0.96892411,0.05501036,0.09169650,3.45047641,0.49443924,0.52249599,75.92,79.54,5137.4,4085.9
9.4633,48084.0,2217897.0,1.09193659,1.03766882,0.05426782,0.12629704,3.18415070,0.48030424,0.53447086,75.92,79.54,5081.1,4103.0
9.2401,44777.0,2262674.0,1.04307640,0.98869050,0.05438578,0.12116177,3.40037537,0.45045102,0.52665621,75.92,79.54,4846.0,4099.4
9.5831,63238.0,2325912.0,1.11089504,1.05685091,0.05404422,0.11887148,3.21515942,0.46958187,0.60670483,75.92,79.54,6598.9,4141.7
9.2663,45118.0,2371030.0,1.01401532,0.95974308,0.05427220,0.12794933,3.34255672,0.45258731,0.48525742,75.92,79.54,4869.1,4153.1
9.1253,49899.0,2420929.0,1.13020515,1.07695854,0.05324670,0.11409953,3.06166601,0.40895811,0.55421048,75.92,79.54,5468.2,4173.4
9.2510,45003.0,2465932.0,0.99563324,0.94182867,0.05380473,0.12491533,3.07867289,0.45184764,0.54703146,75.92,79.54,4864.7,4183.9
9.4082,33600.0,2499532.0,1.04476106,0.98992300,0.05483809,0.13663310,3.52870321,0.50032234,0.45107773,75.92,79.54,3571.3,4174.0
9.4097,33600.0,2533132.0,1.05766821,1.00350082,0.05416739,0.15100649,3.42730761,0.50032234,0.54745424,75.92,79.54,3570.8,4164.3
9.5585,49160.0,2582292.0,1.12991333,1.07740462,0.05250877,0.12041022,2.97990274,0.49407634,0.43859804,75.92,79.54,5143.1,4179.1
9.4022,33600.0,2615892.0,0.96768534,0.91322035,0.05446506,0.10849693,3.38723063,0.50032234,0.47432902,75.92,79.54,3573.6,4169.7
9.3903,59284.0,2675176.0,1.14037251,1.08781350,0.05255884,0.10385750,2.89986324,0.44187528,0.44370463,75.92,79.55,6313.3,4201.0
9.4057,33599.0,2708775.0,1.11406040,1.06087101,0.05318954,0.10043901,3.12567878,0.50032157,0.45519176,75.92,79.55,3572.2,4191.5
9.5931,49411.0,2758186.0,0.96603119,0.91202253,0.05400871,0.10817995,3.35031009,0.49801141,0.45069063,75.92,79.55,5150.7,4205.2
9.3975,33600.0,2791786.0,1.14167607,1.08639634,0.05527959,0.12978531,3.63923693,0.50032234,0.49088240,75.92,79.55,3575.4,4196.0
9.5701,49154.0,2840940.0,1.16228235,1.10959423,0.05268824,0.11993957,2.96889019,0.49432638,0.45636830,75.92,79.55,5136.2,4209.0
9.1608,53687.0,2894627.0,1.07609439,1.02344692,0.05264753,0.13803840,2.96308470,0.41414791,0.40798232,75.92,79.55,5860.5,4230.8
9.1679,39292.0,2933919.0,1.03304887,0.97961098,0.05343786,0.10945490,3.06436825,0.44585872,0.42814624,75.92,79.55,4285.8,4231.2
9.2833,45262.0,2979181.0,1.03262818,0.97900283,0.05362543,0.13852020,3.21331263,0.45355931,0.42334196,75.92,79.55,4875.6,4239.4
9.5443,62760.0,3041941.0,1.04601908,0.99311745,0.05290156,0.14458893,3.11375213,0.46274573,0.39102697,75.92,79.55,6575.6,4270.4
9.3798,36126.0,3078067.0,1.05930018,1.00620651,0.05309363,0.09849473,3.02485371,0.46869975,0.43497762,75.92,79.55,3851.5,4264.7
9.4122,33599.0,3111666.0,1.09129906,1.03781688,0.05348235,0.16544154,3.14901543,0.50032157,0.44860706,75.92,79.55,3569.7,4255.4
9.4060,33598.0,3145264.0,1.13946819,1.08724546,0.05222275,0.13845608,2.89697337,0.50032079,0.43094939,75.92,79.55,3572.0,4246.5
9.3806,47245.0,3192509.0,1.10036159,1.04727125,0.05309042,0.13629654,3.32736945,0.46988073,0.46525672,75.92,79.55,5036.5,4256.1
9.2811,58277.0,3250786.0,1.00574481,0.95397770,0.05176705,0.14580262,2.80439568,0.42667168,0.37195066,75.92,79.55,6279.1,4280.5
9.3981,33600.0,3284386.0,1.01079047,0.95644337,0.05434703,0.12713823,3.51856995,0.50032234,0.51814032,75.92,79.55,3575.2,4271.6
9.3191,45908.0,3330294.0,1.05299127,0.99992168,0.05306972,0.12613377,3.13895321,0.45837298,0.40282294,75.92,79.55,4926.2,4279.2
9.4103,33600.0,3363894.0,1.06648195,1.01318634,0.05329558,0.14699955,3.08375239,0.50032234,0.46730286,75.92,79.55,3570.5,4270.4
9.4083,33600.0,3397494.0,1.02480149,0.97099674,0.05380488,0.10000557,3.44177008,0.50032234,0.43962550,75.92,79.55,3571.3,4261.9
9.1517,41140.0,3438634.0,1.05072141,0.99873459,0.05198679,0.12063334,2.79380226,0.44114810,0.39859888,75.92,79.55,4495.4,4264.3
9.5255,48766.0,3487400.0,1.13670218,1.08476913,0.05193302,0.13257620,2.94312930,0.48899606,0.38679132,75.92,79.55,5119.5,4274.0
9.5982,49565.0,3536965.0,1.09261894,1.04042339,0.05219555,0.13205573,2.96648574,0.50027853,0.40119183,75.92,79.55,5164.0,4284.1
9.1525,40463.0,3577428.0,1.00031877,0.94745195,0.05286684,0.09952389,3.10778332,0.44213262,0.35231373,75.92,79.55,4421.0,4285.3
