time,text_tokens,total_consumed_tokens,total_loss,reduced_llm_loss,reduced_balancing_loss,loss,maxvio,efficient_attn_ratio,grad_norm,max_memory_GB,reserved_memory_GB,tgs,e2e_tgs
8.0552,63238.0,2325912.0,1.21195364,1.16340780,0.04854584,0.13053954,0.85625237,0.46958187,0.54529560,96.27,114.68,7850.6,5358.3
7.7555,45118.0,2371030.0,1.11686254,1.06765115,0.04921141,0.14217281,0.82903254,0.45258731,0.47141996,96.27,114.68,5817.6,5365.8
7.6029,49899.0,2420929.0,1.22961664,1.18118334,0.04843327,0.12661465,1.00793552,0.40895811,0.50414276,96.27,114.68,6563.1,5385.4
7.7435,45003.0,2465932.0,1.09549975,1.04608548,0.04941431,0.13988179,0.75153434,0.45184764,0.47815993,96.27,114.68,5811.7,5392.0
7.8811,33600.0,2499532.0,1.14328420,1.09409320,0.04919098,0.15092221,1.07384729,0.50032234,0.50775427,96.27,114.68,4263.4,5372.3
7.8833,33600.0,2533132.0,1.16721380,1.11840403,0.04880974,0.16928172,0.83781016,0.50032234,0.53635472,96.27,114.68,4262.2,5353.2
8.0338,49160.0,2582292.0,1.23574603,1.18731892,0.04842708,0.13158049,1.04675603,0.49407634,0.58679295,96.27,114.68,6119.1,5365.4
7.8877,33600.0,2615892.0,1.06938100,1.01998520,0.04939583,0.12111064,0.82934660,0.50032234,0.55164582,96.27,114.68,4259.8,5347.0
7.8458,59284.0,2675176.0,1.24764383,1.19919586,0.04844794,0.11843028,0.69747877,0.44187528,0.69605613,96.27,114.68,7556.2,5381.4
7.8831,33599.0,2708775.0,1.22606373,1.17739689,0.04866666,0.11605275,0.70650142,0.50032157,0.64168990,96.27,114.68,4262.2,5363.3
8.0456,49411.0,2758186.0,1.06578588,1.01601326,0.04977247,0.12080257,0.74733752,0.49801141,0.47016728,96.27,114.68,6141.3,5375.0
7.8971,33600.0,2791786.0,1.24488294,1.19594574,0.04893718,0.14309505,0.96376288,0.50032234,0.53042388,96.27,114.68,4254.8,5357.5
8.0407,49154.0,2840940.0,1.25851977,1.21023130,0.04828849,0.13041213,0.98113811,0.49432638,0.45856604,96.27,114.68,6113.2,5368.5
7.6450,53687.0,2894627.0,1.17752159,1.12900257,0.04851896,0.15099955,0.75659275,0.41414791,0.46587497,96.27,114.68,7022.5,5391.5
7.6633,39292.0,2933919.0,1.12755632,1.07841742,0.04913894,0.12225628,0.89527339,0.44585872,0.49507272,96.27,114.68,5127.3,5387.3
7.7638,45262.0,2979181.0,1.12833905,1.07968378,0.04865525,0.15182430,0.61954403,0.45355931,0.49127129,96.27,114.68,5829.8,5393.0
8.0019,62760.0,3041941.0,1.14379120,1.09523380,0.04855746,0.15753496,0.55848122,0.46274573,0.56788522,96.27,114.68,7843.1,5427.5
7.8459,36126.0,3078067.0,1.15477133,1.10624135,0.04853002,0.11144815,0.70907128,0.46869975,0.43657315,96.27,114.68,4604.4,5415.6
7.8778,33599.0,3111666.0,1.18715465,1.13887358,0.04828110,0.17585129,0.74664086,0.50032157,0.54025739,96.27,114.68,4265.0,5399.4
7.8755,33598.0,3145264.0,1.23849368,1.19027507,0.04821861,0.15152942,0.64675462,0.50032079,0.43622974,96.27,114.68,4266.1,5383.7
7.8629,47245.0,3192509.0,1.19599009,1.14751768,0.04847244,0.14866278,0.68972576,0.46988073,0.40544418,96.27,114.68,6008.6,5391.5
7.7579,58277.0,3250786.0,1.09858155,1.04990959,0.04867202,0.15823758,0.57208240,0.42667168,0.40152630,96.27,114.68,7511.9,5418.5
7.8885,33600.0,3284386.0,1.11418736,1.06454456,0.04964294,0.14181101,0.92795444,0.50032234,0.43963259,96.27,114.68,4259.4,5403.0
7.8047,45908.0,3330294.0,1.14866936,1.09993458,0.04873475,0.13809520,0.69405067,0.45837298,0.36142910,96.27,114.68,5882.1,5408.6
7.8772,33600.0,3363894.0,1.16015017,1.11110210,0.04904806,0.15900043,0.73017454,0.50032234,0.44576964,96.27,114.68,4265.5,5393.7
7.8857,33600.0,3397494.0,1.11655164,1.06756771,0.04898399,0.11039340,0.76484263,0.50032234,0.40498006,96.27,114.68,4260.9,5379.1
7.6388,41140.0,3438634.0,1.14068651,1.09239662,0.04829001,0.13233885,0.62249219,0.44114810,0.44089192,96.27,114.68,5385.6,5378.8
8.0142,48766.0,3487400.0,1.23108113,1.18262494,0.04845609,0.14339450,1.18115520,0.48899606,0.37013900,96.27,114.68,6085.0,5387.1
8.0736,49565.0,3536965.0,1.18731689,1.13921845,0.04809840,0.14432704,0.58293867,0.50027853,0.39782092,96.27,114.68,6139.1,5395.9
7.6507,40463.0,3577428.0,1.09110796,1.04210627,0.04900165,0.11110914,0.67842960,0.44213262,0.40138686,96.27,114.68,5288.8,5394.3
7.6470,42495.0,3619923.0,1.06492138,1.01600635,0.04891502,0.11878938,0.73399782,0.44173616,0.41741231,96.27,114.68,5557.1,5395.7
7.8796,33600.0,3653523.0,1.02682209,0.97685391,0.04996813,0.09996954,0.83233756,0.50032234,0.44099879,96.27,114.68,4264.2,5382.2
8.0050,48602.0,3702125.0,1.13154876,1.08317626,0.04837251,0.18959615,0.64081538,0.48683798,0.46388888,96.27,114.68,6071.5,5389.8
7.8119,46253.0,3748378.0,1.23869431,1.19065487,0.04803931,0.18930259,0.75937551,0.46124285,0.39973968,96.27,114.68,5920.8,5395.4
7.8270,60425.0,3808803.0,1.19510210,1.14722025,0.04788190,0.11775003,0.51047772,0.43599218,0.39273426,96.27,114.68,7720.1,5420.9
8.0624,63463.0,3872266.0,1.19986546,1.15143597,0.04842931,0.15424882,0.63683796,0.47192329,0.39521646,96.27,114.70,7871.5,5448.3
7.8811,33600.0,3905866.0,1.15685296,1.10853624,0.04831666,0.11643909,0.68294811,0.50032234,0.51679003,96.27,114.70,4263.3,5434.9
7.7133,43914.0,3949780.0,1.08318162,1.03460133,0.04858017,0.11443962,0.65380275,0.44601798,0.38657930,96.27,114.70,5693.3,5437.3
7.8929,33600.0,3983380.0,1.16344583,1.11514843,0.04829757,0.12014498,1.01370668,0.50032234,0.39780685,96.27,114.70,4257.0,5424.2
7.8884,33600.0,4016980.0,0.98966020,0.93941224,0.05024787,0.11479314,0.98964661,0.50032234,0.46133792,96.27,114.70,4259.4,5411.4
7.8759,33596.0,4050576.0,1.09720266,1.04849541,0.04870726,0.16968378,0.66977566,0.50031924,0.37628257,96.27,114.70,4265.6,5399.0
7.8795,33600.0,4084176.0,1.10222268,1.05381680,0.04840589,0.14582708,0.74560606,0.50032234,0.40728647,96.27,114.70,4264.2,5386.9
7.6346,56257.0,4140433.0,1.16749620,1.11956799,0.04792806,0.11890680,0.67261219,0.40936196,0.32992396,96.27,114.70,7368.7,5406.3
7.6098,54827.0,4195260.0,1.20909047,1.16073334,0.04835714,0.13720343,0.83877224,0.40529019,0.38838395,96.27,114.70,7204.8,5423.6
7.8757,33601.0,4228861.0,1.29273331,1.24461567,0.04811752,0.16795667,0.90243244,0.50032312,0.43341535,96.27,114.70,4266.4,5411.6
7.8801,33600.0,4262461.0,1.12869716,1.07961082,0.04908635,0.10586055,1.27389121,0.50032234,0.39910561,96.27,114.70,4263.9,5399.8
7.8732,33600.0,4296061.0,1.16438985,1.11600721,0.04838266,0.12678966,0.65917367,0.50032234,0.37103811,96.27,114.70,4267.6,5388.3
7.8834,33576.0,4329637.0,1.11637783,1.06710017,0.04927764,0.13693538,0.72386038,0.50030428,0.40492198,96.27,114.70,4259.1,5376.9
7.7192,44242.0,4373879.0,1.17827630,1.12956715,0.04870919,0.13815480,0.82396501,0.44754556,0.40265921,96.27,114.70,5731.4,5379.9
7.9074,33599.0,4407478.0,1.35187578,1.30375874,0.04811692,0.17314245,0.89938188,0.50032157,0.41259447,96.27,114.70,4249.0,5365.8
7.8467,46537.0,4454015.0,1.11733806,1.06860030,0.04873771,0.13339652,0.58747613,0.46380329,0.40065235,96.27,114.70,5930.8,5370.8
7.6416,40737.0,4494752.0,1.06573534,1.01633942,0.04939578,0.11852009,0.64732087,0.44163302,0.37410131,96.27,114.70,5331.0,5370.1
